f1	131072	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f2	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f3	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f4	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f5	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f6	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f7	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f8	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f9	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f10	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f11	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f12	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f13	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f14	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f15	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f16	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536
f17	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536	65536

F	1179648	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112	1114112
time: 20.104094
